Step	Loss	Loss per Cell	 Change 
392	2181356032.0	286605.7064774668	1108.7951648929738
393	2172733440.0	285472.7946393378	1132.9118381289882
394	2164352000.0	284371.56746813824	1101.2271711995709
395	2156232192.0	283304.71580607013	1066.851662068104
396	2148224768.0	282252.630140586	1052.0856654841336
397	2140181632.0	281195.85231901193	1056.777821574069
398	2132424320.0	280176.6285639206	1019.2237550913123
399	2124583040.0	279146.3723558008	1030.2562081197975
400	2116467968.0	278080.142950992	1066.229404808837
401	2108686976.0	277057.8079096045	1022.3350413874723
402	2101376128.0	276097.2445145185	960.5633950860356
403	2093990528.0	275126.85954539484	970.3849691236392
404	2086630656.0	274159.8549467875	967.0045986073092
405	2079738368.0	273254.2856392064	905.5693075811141
406	2072880640.0	272353.2571278413	901.0285113651189
407	2066071808.0	271458.6530022336	894.6041256077006
408	2059296896.0	270568.50558402314	890.1474182104575
409	2052764928.0	269710.2782814348	858.2273025883478
410	2046109824.0	268835.87229010643	874.4059913283563
411	2039560704.0	267975.3914071738	860.4808829326066
412	2032955520.0	267107.54434371303	867.8470634607947
413	2026601984.0	266272.7610038103	834.7833399027586
414	2020129536.0	265422.3539613717	850.4070424385718
415	2013455744.0	264545.492576534	876.8613848377136
416	2006890880.0	263682.94310865854	862.5494678754476
417	2000443392.0	262835.81553015375	847.127578504791
418	1993808384.0	261964.04992773617	871.7656024175812
419	1987598976.0	261148.2033898305	815.8465379056579
420	1981582464.0	260357.70122191566	790.5021679148485
421	1975509760.0	259559.81605570886	797.8851662068046
422	1969415936.0	258759.15595848113	800.6600972277229
423	1963436288.0	257973.49730653001	785.6586519511184
424	1957507712.0	257194.54894232034	778.9483642096748
425	1951816192.0	256446.74707659965	747.8018657206849
426	1945885440.0	255667.51281040598	779.2342661936709
427	1940033280.0	254898.60465116278	768.9081592432049
428	1934295040.0	254144.66430166864	753.9403494941362
429	1928817792.0	253425.0153724872	719.6489291814505
430	1923129088.0	252677.5834975693	747.4318749178783
431	1917574400.0	251947.75982131125	729.8236762580636
432	1912087808.0	251226.88319537512	720.8766259361291
433	1906997632.0	250558.0911838129	668.792011562211
434	1902033152.0	249905.81421626592	652.2769675469899
435	1897043072.0	249250.17369596637	655.640520299552
436	1891931520.0	248578.57311785573	671.600578110636
437	1886798464.0	247904.14715543293	674.4259624227998
438	1881655680.0	247228.44304296412	675.7041124688112
439	1876699520.0	246577.25923006175	651.1838129023672
440	1872009600.0	245961.05636578635	616.2028642754012
441	1867393792.0	245354.59098672975	606.4653790566081
442	1862766336.0	244746.59519117067	607.9957955590799
443	1858046464.0	244126.45697017474	620.1382209959265
444	1853372416.0	243512.33950860598	614.1174615687632
445	1848824704.0	242914.82117987124	597.5183287347318
446	1844283136.0	242318.11010379714	596.7110760741052
447	1840045312.0	241761.30758113257	556.8025226645696
448	1835744256.0	241196.1970831691	565.1104979634692
449	1831386624.0	240623.6531336224	572.5439495466999
450	1826954368.0	240041.30442780186	582.3487058205355
451	1822657536.0	239476.74891604256	564.555511759303
452	1818492416.0	238929.49888319537	547.2500328471942
453	1814338304.0	238383.6951780318	545.803705163562
454	1810340224.0	237858.3923268953	525.3028511365119
455	1806397696.0	237340.3883852319	518.0039416633954
456	1802516224.0	236830.40651688346	509.98186834843364
457	1798496768.0	236302.29509919853	528.1114176849369
458	1794477824.0	235774.25095256866	528.0441466298653
459	1790649472.0	235271.24845618184	503.00249638682
460	1786801792.0	234765.70647746683	505.54197871501674
461	1782914048.0	234254.900538694	510.8059387728281
462	1779130368.0	233757.76744186046	497.13309683353873
463	1775400320.0	233267.68098804363	490.08645381682436
464	1771584512.0	232766.32663250557	501.3543555380602
465	1767798784.0	232268.92445145184	497.4021810537379
466	1764223488.0	231799.17067402444	469.7537774273951
467	1760629760.0	231326.99513861517	472.17553540927474
468	1757156352.0	230870.6283011431	456.3668374720728
469	1753582080.0	230401.00906582578	469.6192353173101
470	1750103808.0	229944.0031533307	457.0059124950785
471	1746678656.0	229493.97661279727	450.02654053343576
472	1743346304.0	229056.14295099198	437.8336618052854
473	1740067584.0	228625.35593220338	430.7870187886001
474	1736667264.0	228178.59203783996	446.7638943634229
475	1733289728.0	227734.82170542635	443.77033241360914
476	1730022528.0	227305.54828537643	429.27342004992533
477	1726690432.0	226867.74825909868	437.80002627774957
478	1723559808.0	226456.41939298384	411.3288661148399
479	1720434176.0	226045.74641965577	410.6729733280663
480	1717269120.0	225629.89357508867	415.8528445670963
481	1714081664.0	225211.0976218631	418.79595322557725
482	1710836352.0	224784.70003941664	426.3975824464578
483	1707606784.0	224360.37104191302	424.32899750361685
484	1704342528.0	223931.48443042964	428.88661148337997
485	1701252480.0	223525.48679542766	405.99763500198605
486	1698371328.0	223146.93575088689	378.5510445407708
487	1695435648.0	222761.22033898305	385.7154119038314
488	1692508288.0	222376.59808172382	384.6222572592378
489	1689636736.0	221999.30836946526	377.2897122585564
490	1686685824.0	221611.59164367363	387.71672579162987
491	1683848192.0	221238.75863881226	372.8330048613716
492	1680990080.0	220863.23479174878	375.5238470634795
493	1678114560.0	220485.42372881356	377.8110629352159
494	1675286016.0	220113.78478517933	371.6389436342288
495	1672488576.0	219746.23255813954	367.55222703979234
496	1669724416.0	219383.0529496781	363.17960846144706
497	1667023232.0	219028.14768098804	354.9052686900541
498	1664384384.0	218681.43266325057	346.7150177374715
499	1661835904.0	218346.59098672975	334.84167652082397
500	1659231360.0	218004.38312968073	342.2078570490121
501	1656712960.0	217673.4936276442	330.88950203653076
502	1654299264.0	217356.3610563658	317.1325712784019
503	1651842304.0	217033.54408093548	322.8169754303235
504	1649494784.0	216725.10629352252	308.4377874129568
505	1647101312.0	216410.63092891866	314.4753646038589
506	1644819584.0	216110.83747207987	299.79345683878637
507	1642613120.0	215820.93286033373	289.9046117461403
508	1640467712.0	215539.0503219025	281.88253843123675
509	1638245248.0	215247.04348968598	292.00683221651707
510	1636081792.0	214962.7896465642	284.2538431217836
511	1633905536.0	214676.8540270661	285.9356194981083
512	1631871232.0	214409.56930758114	267.2847194849455
513	1629685504.0	214122.3891735646	287.1801340165548
514	1627458944.0	213829.84417290764	292.54500065694447
515	1625372288.0	213555.68098804363	274.16318486400996
516	1623372544.0	213292.93706477465	262.7439232689794
517	1621462784.0	213042.01602943108	250.9210353435774
518	1619494272.0	212783.3756405203	258.6403889107751
519	1617479936.0	212518.71449218236	264.66114833793836
520	1615427968.0	212249.10892129812	269.60557088424684
521	1613381248.0	211980.19287872815	268.9160425699665
522	1611432832.0	211724.19287872815	256.0
523	1609468672.0	211466.1242937853	258.06858494284097
524	1607612416.0	211222.23308369465	243.89121009066002
525	1605612160.0	210959.42188937066	262.8111943239928
526	1603728128.0	210711.88122454344	247.54066482721828
527	1601801472.0	210458.74024438314	253.1409801603004
528	1599865984.0	210204.4388385232	254.3014058599365
529	1597938176.0	209951.14649848902	253.29234003418242
530	1596037760.0	209701.45315990015	249.69333858886966
531	1594065792.0	209442.35869136776	259.09446853239206
532	1592165248.0	209192.64853501512	249.71015635263757
533	1590278272.0	208944.72106162133	247.92747339379275
534	1588428544.0	208701.6875574826	243.03350413872977
535	1586607232.0	208462.38759689924	239.2999605833611
536	1584764928.0	208220.32952305872	242.0580738405115
537	1583068416.0	207997.42688214427	222.90264091445715
538	1581388544.0	207776.710550519	220.71633162526996
539	1579677440.0	207551.89068453555	224.8198659834452
540	1578013568.0	207333.27657338063	218.61411115492228
541	1576423424.0	207124.3494941532	208.92707922743284
542	1574857344.0	206918.5841545132	205.76533963999827
543	1573301376.0	206714.1474182105	204.43673630271223
544	1571703168.0	206504.160819866	209.98659834449063
545	1570105600.0	206294.2583103403	209.90250952570932
546	1568476544.0	206080.21863092892	214.03967941136216
547	1566955264.0	205880.33950860598	199.87912232294912
548	1565409920.0	205677.29864669556	203.0408619104128
549	1563873152.0	205475.3845749573	201.91407173825428
550	1562336768.0	205273.5209565103	201.86361844700878
